02_G_05_4,0,4
02_G_05_3,0,3
02_G_05_2,0.001,2
02_G_05_1,0.033,1
02_G_04_3,0,3
02_G_04_2,0.001,2
02_G_04_1,0.025,1
02_G_03_2,0.002,2
02_G_03_1,3.5,1
02_G_02_1,0.7,1
02_G_01_1,2.4,1
02_P_25,0.01,
02_P_20,0.006,
02_P_19,0.001,
02_P_15,0.003,
02_P_14,0.013,
02_P_13,0.011,
02_P_10,0.06,
02_P_9,0.05,
02_P_8,0.22,
02_P_7,0.24,
02_P_5,36.3,
02_P_4,37.3,
02_P_3,23.1,
02_P_2,24.2,
02_P_1,21.9,
