01_G_01_1,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,
03_G_01_1,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,
04_G_01_1,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,
11_G_01_1,75.908,,,,,,,,,,,,,,,,,,,,,,,,,,
12_G_01_1,75.324,,,,,,,,,,,,,,,,,,,,,,,,,,
13_G_01_1,85.825,,,,,,,,,,,,,,,,,,,,,,,,,,
14_G_01_1,74.741,,,,,,,,,,,,,,,,,,,,,,,,,,
15_G_01_1,3.495,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_P_01,32.328,,,,,,,,,,,,,,,,,,,,,,,,,,
03_P_01,35.245,,,,,,,,,,,,,,,,,,,,,,,,,,
04_P_01,45.629,,,,,,,,,,,,,,,,,,,,,,,,,,
13_P_01,105.077,,,,,,,,,,,,,,,,,,,,,,,,,,
14_P_01,167.037,,,,,,,,,,,,,,,,,,,,,,,,,,
15_P_01,24.51,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_F_059,2.216,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_01,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_02,20.835,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_03,15.059,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_04,14.184,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_05,12.317,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_07,0.801,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_08,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_09,0.411,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_10,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_13,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_14,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_15,0.102,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_19,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_20,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,
16_P_25,0.007,,,,,,,,,,,,,room ,1,,room ,2,,room ,3,,room ,4,,room ,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_01_1,2.866,,,,,,,,,,,,,16_G_01_1,2.866,,,,,,,,,,,,
16_G_02_1,0.963,,,,,,,,,,,,,16_G_02_1,0.963,,,,,,,,,,,,
16_G_03_1,0.08,,,,,,,,,,,,,16_G_03_1,0.08,,,,,,,,,,,,
16_G_04_1,0.037,,,,,,,,,,,,,16_G_04_1,0.037,,,,,,,,,,,,
16_G_05_1,3.006,,,,,,,,,,,,,,,,16_G_05_1,3.006,,,,,,,,,
16_G_06_1,0.119,,,,,,,,,,,,,,,,16_G_06_1,0.119,,,,,,,,,
16_G_07_1,0.483,,,,,,,,,,,,,,,,16_G_07_1,0.483,,,,,,,,,
16_G_08_1,0.527,,,,,,,,,,,,,,,,16_G_08_1,0.527,,,,,,,,,
16_G_09_1,4.552,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_10_1,1.209,,,,,,,,,,,,,,,,16_G_09_1,4.552,,16_G_09_2,0.042,,,,,,
16_G_11_1,0.404,,,,,,,,,,,,,,,,16_G_10_1,1.209,,16_G_10_2,0.021,,,,,,
16_G_12_1,0.373,,,,,,,,,,,,,,,,16_G_11_1,0.404,,16_G_11_2,0.014,,,,,,
16_G_13_1,2.738,,,,,,,,,,,,,,,,16_G_12_1,0.373,,16_G_12_2,0.017,,,,,,
16_G_14_1,1.898,,,,,,,,,,,,,,,,,,,,,,,,,,
16_G_15_1,0.277,,,,,,,,,,,,,,,,16_G_13_1,2.738,,16_G_13_2,0.004,,16_G_13_3,0.009,,,
16_G_16_1,0.168,,,,,,,,,,,,,,,,16_G_14_1,1.898,,16_G_14_2,0.004,,16_G_14_3,0.006,,,
16_G_17_1,3.041,,,,,,,,,,,,,,,,16_G_15_1,0.277,,16_G_15_2,0.002,,16_G_15_3,0.007,,,
16_G_18_1,0.631,,,,,,,,,,,,,,,,16_G_16_1,0.168,,16_G_16_2,0.002,,16_G_16_3,0.002,,,
16_G_19_1,0.378,,,,,,,,,,,,,,,,,,,,,,,,,,
